"auth","sim_num","pw","pm"
"Bernardo",1,19,16
"Bernardo",2,18,17
"Bernardo",3,18,17
"Bernardo",4,18,17
"Bernardo",5,17,18
"Bernardo",6,20,15
"Bernardo",7,17,18
"Bernardo",8,18,17
"Bernardo",9,19,16
"Bernardo",10,18,17
"Bernardo",11,18,17
"Bernardo",12,17,18
"Bernardo",13,19,16
"Bernardo",14,16,19
"Bernardo",15,16,19
"Bernardo",16,15,20
"Bernardo",17,18,17
"Bernardo",18,17,18
"Bernardo",19,20,15
"Bernardo",20,17,18
"Bernardo",21,15,20
"Bernardo",22,17,18
"Bernardo",23,20,15
"Bernardo",24,20,15
"Bernardo",25,18,17
"Bernardo",26,19,16
"Bernardo",27,15,20
"Bernardo",28,18,17
"Bernardo",29,14,21
"Bernardo",30,16,19
"Bernardo",31,19,16
"Bernardo",32,19,16
"Bernardo",33,18,17
"Bernardo",34,17,18
"Bernardo",35,17,18
"Bernardo",36,20,15
"Bernardo",37,18,17
"Bernardo",38,18,17
"Bernardo",39,16,19
"Bernardo",40,17,18
"Bernardo",41,19,16
"Bernardo",42,17,18
"Bernardo",43,17,18
"Bernardo",44,14,21
"Bernardo",45,15,20
"Bernardo",46,17,18
"Bernardo",47,17,18
"Bernardo",48,15,20
"Bernardo",49,20,15
"Bernardo",50,20,15
"Bernardo",51,17,18
"Bernardo",52,15,20
"Bernardo",53,18,17
"Bernardo",54,17,18
"Bernardo",55,17,18
"Bernardo",56,18,17
"Bernardo",57,18,17
"Bernardo",58,16,19
"Bernardo",59,17,18
"Bernardo",60,17,18
"Bernardo",61,18,17
"Bernardo",62,18,17
"Bernardo",63,19,16
"Bernardo",64,18,17
"Bernardo",65,20,15
"Bernardo",66,18,17
"Bernardo",67,22,13
"Bernardo",68,19,16
"Bernardo",69,15,20
"Bernardo",70,17,18
"Bernardo",71,21,14
"Bernardo",72,17,18
"Bernardo",73,17,18
"Bernardo",74,18,17
"Bernardo",75,16,19
"Bernardo",76,17,18
"Bernardo",77,19,16
"Bernardo",78,17,18
"Bernardo",79,18,17
"Bernardo",80,20,15
"Bernardo",81,17,18
"Bernardo",82,16,19
"Bernardo",83,19,16
"Bernardo",84,18,17
"Bernardo",85,17,18
"Bernardo",86,21,14
"Bernardo",87,17,18
"Bernardo",88,17,18
"Bernardo",89,18,17
"Bernardo",90,17,18
"Bernardo",91,17,18
"Bernardo",92,16,19
"Bernardo",93,16,19
"Bernardo",94,18,17
"Bernardo",95,19,16
"Bernardo",96,19,16
"Bernardo",97,19,16
"Bernardo",98,19,16
"Bernardo",99,16,19
"Bernardo",100,19,16
