"auth","sim_num","pw","pm"
"AD",1,18,17
"AD",2,17,18
"AD",3,19,16
"AD",4,17,18
"AD",5,16,19
"AD",6,16,19
"AD",7,16,19
"AD",8,16,19
"AD",9,17,18
"AD",10,19,16
"AD",11,18,17
"AD",12,19,16
"AD",13,18,17
"AD",14,16,19
"AD",15,17,18
"AD",16,17,18
"AD",17,16,19
"AD",18,19,16
"AD",19,18,17
"AD",20,17,18
"AD",21,17,18
"AD",22,19,16
"AD",23,21,14
"AD",24,19,16
"AD",25,17,18
"AD",26,17,18
"AD",27,17,18
"AD",28,16,19
"AD",29,18,17
"AD",30,17,18
"AD",31,19,16
"AD",32,19,16
"AD",33,19,16
"AD",34,18,17
"AD",35,17,18
"AD",36,19,16
"AD",37,17,18
"AD",38,19,16
"AD",39,19,16
"AD",40,17,18
"AD",41,18,17
"AD",42,19,16
"AD",43,20,15
"AD",44,18,17
"AD",45,14,21
"AD",46,18,17
"AD",47,18,17
"AD",48,14,21
"AD",49,17,18
"AD",50,17,18
"AD",51,20,15
"AD",52,19,16
"AD",53,19,16
"AD",54,17,18
"AD",55,15,20
"AD",56,14,21
"AD",57,19,16
"AD",58,19,16
"AD",59,20,15
"AD",60,17,18
"AD",61,18,17
"AD",62,18,17
"AD",63,20,15
"AD",64,16,19
"AD",65,20,15
"AD",66,19,16
"AD",67,18,17
"AD",68,18,17
"AD",69,18,17
"AD",70,16,19
"AD",71,16,19
"AD",72,16,19
"AD",73,18,17
"AD",74,17,18
"AD",75,18,17
"AD",76,15,20
"AD",77,17,18
"AD",78,16,19
"AD",79,17,18
"AD",80,18,17
"AD",81,17,18
"AD",82,17,18
"AD",83,16,19
"AD",84,17,18
"AD",85,17,18
"AD",86,18,17
"AD",87,16,19
"AD",88,18,17
"AD",89,19,16
"AD",90,16,19
"AD",91,15,20
"AD",92,20,15
"AD",93,14,21
"AD",94,18,17
"AD",95,19,16
"AD",96,18,17
"AD",97,19,16
"AD",98,19,16
"AD",99,19,16
"AD",100,19,16
"Admilza/Leonilza",1,21,14
"Admilza/Leonilza",2,20,15
"Admilza/Leonilza",3,18,17
"Admilza/Leonilza",4,18,17
"Admilza/Leonilza",5,16,19
"Admilza/Leonilza",6,18,17
"Admilza/Leonilza",7,17,18
"Admilza/Leonilza",8,18,17
